 BadLandings	142	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	281,5°]		 Bad Chance	0,0461067403508658%
 BadLandings	143	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	282°]		 Bad Chance	0,0463952813078927%
 BadLandings	144	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	282,5°]		 Bad Chance	0,0466833732627463%
 BadLandings	145	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	283°]		 Bad Chance	0,0469710172626587%
 BadLandings	146	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	283,5°]		 Bad Chance	0,0472582143516076%
 BadLandings	147	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	284°]		 Bad Chance	0,0475449655703294%
 BadLandings	148	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	284,5°]		 Bad Chance	0,0478312719563313%
 BadLandings	149	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	285°]		 Bad Chance	0,0481171345439045%
 BadLandings	150	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	285,5°]		 Bad Chance	0,0484025543641356%
 BadLandings	151	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	286°]		 Bad Chance	0,0486875324449202%
 BadLandings	152	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	286,5°]		 Bad Chance	0,0489720698109743%
 BadLandings	153	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	287°]		 Bad Chance	0,0492561674838469%
 BadLandings	154	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	287,5°]		 Bad Chance	0,0495398264819324%
 BadLandings	155	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	288°]		 Bad Chance	0,0498230478204827%
 BadLandings	156	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	288,5°]		 Bad Chance	0,0501058325116191%
 BadLandings	157	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	289°]		 Bad Chance	0,0503881815643444%
 BadLandings	158	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	289,5°]		 Bad Chance	0,0506700959845552%
 BadLandings	159	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	290°]		 Bad Chance	0,0509515767750536%
 BadLandings	160	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	290,5°]		 Bad Chance	0,051232624935559%
 BadLandings	161	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	291°]		 Bad Chance	0,0515132414627201%
 BadLandings	162	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	291,5°]		 Bad Chance	0,0517934273501268%
 BadLandings	163	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	292°]		 Bad Chance	0,0520731835883216%
 BadLandings	164	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	292,5°]		 Bad Chance	0,0523525111648115%
 BadLandings	165	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	293°]		 Bad Chance	0,0526314110640795%
 BadLandings	166	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	293,5°]		 Bad Chance	0,0529098842675965%
 BadLandings	167	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	294°]		 Bad Chance	0,0531879317538322%
 BadLandings	168	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	294,5°]		 Bad Chance	0,0534655544982671%
 BadLandings	169	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	295°]		 Bad Chance	0,0537427534734037%
 BadLandings	170	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	295,5°]		 Bad Chance	0,0540195296487777%
 BadLandings	171	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	296°]		 Bad Chance	0,0542958839909697%
 BadLandings	172	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	296,5°]		 Bad Chance	0,0545718174636161%
 BadLandings	173	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	297°]		 Bad Chance	0,0548473310274205%
 BadLandings	174	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	297,5°]		 Bad Chance	0,0551224256401646%
 BadLandings	175	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	298°]		 Bad Chance	0,0553971022567197%
 BadLandings	176	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	298,5°]		 Bad Chance	0,0556713618290573%
 BadLandings	177	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	299°]		 Bad Chance	0,0559452053062605%
